product_id,Name,ReviewCount,Brand,ImageURL,Rating,Tags
1,Product A,100,Brand A,http://example.com/img1.jpg,4.5,tag1 tag2 tag3
2,Product B,150,Brand B,http://example.com/img2.jpg,4.0,tag2 tag3 tag4
3,Product C,200,Brand C,http://example.com/img3.jpg,4.8,tag3 tag4 tag5
4,Product D,90,Brand D,http://example.com/img4.jpg,4.2,tag1 tag4 tag5
5,Product E,120,Brand E,http://example.com/img5.jpg,4.6,tag1 tag2 tag5
6,Product F,300,Brand F,http://example.com/img6.jpg,4.9,tag1 tag3 tag4
7,Product G,50,Brand G,http://example.com/img7.jpg,4.3,tag2 tag3 tag5
8,Product H,70,Brand H,http://example.com/img8.jpg,4.1,tag1 tag4 tag5
9,Product I,80,Brand I,http://example.com/img9.jpg,4.4,tag1 tag2 tag4
10,Product J,110,Brand J,http://example.com/img10.jpg,4.7,tag2 tag4 tag5
11,Product K,130,Brand K,http://example.com/img11.jpg,4.5,tag1 tag3 tag5
12,Product L,140,Brand L,http://example.com/img12.jpg,4.6,tag2 tag3 tag5
13,Product M,160,Brand M,http://example.com/img13.jpg,4.7,tag3 tag4 tag5
14,Product N,170,Brand N,http://example.com/img14.jpg,4.8,tag1 tag4 tag3
15,Product O,180,Brand O,http://example.com/img15.jpg,4.9,tag2 tag5 tag4
16,Product P,190,Brand P,http://example.com/img16.jpg,4.0,tag1 tag2 tag3
17,Product Q,200,Brand Q,http://example.com/img17.jpg,4.1,tag2 tag3 tag4
18,Product R,210,Brand R,http://example.com/img18.jpg,4.2,tag3 tag4 tag5
19,Product S,220,Brand S,http://example.com/img19.jpg,4.3,tag1 tag4 tag5
20,Product T,230,Brand T,http://example.com/img20.jpg,4.4,tag2 tag5 tag3
21,Product U,240,Brand U,http://example.com/img21.jpg,4.5,tag1 tag2 tag4
22,Product V,250,Brand V,http://example.com/img22.jpg,4.6,tag3 tag4 tag5
23,Product W,260,Brand W,http://example.com/img23.jpg,4.7,tag2 tag3 tag4
24,Product X,270,Brand X,http://example.com/img24.jpg,4.8,tag1 tag4 tag5
25,Product Y,280,Brand Y,http://example.com/img25.jpg,4.9,tag2 tag5 tag3
26,Product Z,290,Brand Z,http://example.com/img26.jpg,4.0,tag1 tag3 tag4
27,Product AA,300,Brand AA,http://example.com/img27.jpg,4.1,tag2 tag4 tag5
28,Product AB,310,Brand AB,http://example.com/img28.jpg,4.2,tag3 tag5 tag1
29,Product AC,320,Brand AC,http://example.com/img29.jpg,4.3,tag4 tag1 tag2
30,Product AD,330,Brand AD,http://example.com/img30.jpg,4.4,tag5 tag2 tag3
31,Product AE,340,Brand AE,http://example.com/img31.jpg,4.5,tag1 tag2 tag3
32,Product AF,350,Brand AF,http://example.com/img32.jpg,4.6,tag2 tag3 tag4
33,Product AG,360,Brand AG,http://example.com/img33.jpg,4.7,tag3 tag4 tag5
34,Product AH,370,Brand AH,http://example.com/img34.jpg,4.8,tag4 tag5 tag1
35,Product AI,380,Brand AI,http://example.com/img35.jpg,4.9,tag5 tag1 tag2
36,Product AJ,390,Brand AJ,http://example.com/img36.jpg,4.0,tag1 tag3 tag4
37,Product AK,400,Brand AK,http://example.com/img37.jpg,4.1,tag2 tag4 tag5
